,Handle,Date,Text,Compound_Score,Positive_score,Negative_score,Neutral_score
94,@BBC,Mon Apr 02 23:14:33 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
95,@BBC,Mon Apr 02 23:14:30 +0000 2018,RT @ManuelJ64662246: Señores de @24HorasTVN @CNNChile les hago recuerd9 que el 17 de Dic. ganó ampliamente la elección presidencial @Chile_…,0.296,0.104,0.0,0.896
96,@BBC,Mon Apr 02 23:14:28 +0000 2018,"RT @JoRichardsKent: @robertrea @Byline_Media @Umbertobaggio @carolecadwalla @BBC Owls, cute babies, PM swaps phone, and a cricket ball all…",0.4588,0.158,0.0,0.842
97,@BBC,Mon Apr 02 23:14:23 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
98,@BBC,Mon Apr 02 23:14:22 +0000 2018,"RT @TragaViajes: [#Ayuda] El diario digital @Rosariotres no solo nos roba la foto de portada y el vídeo sin permiso, sino que dice que es d…",-0.7003,0.0,0.201,0.799
99,@BBC,Mon Apr 02 23:14:06 +0000 2018,"RT @BBC: 12-year-old Keilan has severe curvature of the spine. He needs surgery ASAP, but the operation could leave him paralysed... #Hospi…",-0.2732,0.0,0.134,0.866
100,@CBS,Mon Apr 02 23:22:49 +0000 2018,"RT @RF_P0TUS: Dear @NBC, @ABC, @CBS: You are pleased to sully your reputations by having your affiliates parrot Sinclair's state propaganda…",0.6705,0.224,0.0,0.776
101,@CBS,Mon Apr 02 23:22:29 +0000 2018,"RT @MrPEC_Tacular: WHAT A REAL CHAMPION LOOKS LIKE!!!

2x IMPACT TAG CHAMP
5x OVW TAG CHAMP

SOON WORLD CHAMP!!

#YearOfThePECS

#TheMAN #M…",0.9703,0.562,0.0,0.438
102,@CBS,Mon Apr 02 23:22:17 +0000 2018,"RT @RF_P0TUS: Dear @NBC, @ABC, @CBS: You are pleased to sully your reputations by having your affiliates parrot Sinclair's state propaganda…",0.6705,0.224,0.0,0.776
103,@CBS,Mon Apr 02 23:21:17 +0000 2018,"RT @larryelder: “The only thing your mouth is good for is being Vladimir Putin’s cuck holster.” 
--@Stephen Colbert, @StephenAtHome, referr…",0.4404,0.132,0.0,0.868
104,@CBS,Mon Apr 02 23:21:08 +0000 2018,@realDonaldTrump @presssec @CNN @FoxNews @NBCNews @ABC @CBS Even the White House Easter Egg Hunt was Racist. There… https://t.co/akLfWtiDwj,-0.6124,0.0,0.19,0.81
105,@CBS,Mon Apr 02 23:20:18 +0000 2018,@Twitstery @TheView @TuckerCarlson @MeghanMcCain @DLoesch @ABC @CNN @FoxNews @CBS Gun laws don't stop gun violence... As Chicago,0.1341,0.193,0.118,0.689
106,@CBS,Mon Apr 02 23:20:12 +0000 2018,@myhtopoeic @RealRobertBoud #MSNBC @maddow @CBS @cbsaustin @CBSNews @CBSEveningNews @CBSThisMorning… https://t.co/HMkRGGA4Q8,0.0,0.0,0.0,1.0
107,@CBS,Mon Apr 02 23:19:34 +0000 2018,"RT @EkbMary: #HorseKillers on our payroll, used 2 doing their black magic out of the public eye. How dare these paid public employees ignor…",0.0,0.0,0.0,1.0
108,@CBS,Mon Apr 02 23:19:29 +0000 2018,"RT @ProfElvanAktas: “Kanl? Tiyatro""
""Deadly Theater""
@cnni @bbc @AP @Reuters @dwnews @FoxNews @ABC @NBCNews @CBS @hrw @ariannahuff @OSCE_RF…",0.0,0.0,0.0,1.0
109,@CBS,Mon Apr 02 23:18:59 +0000 2018,"RT @larryelder: “The only thing your mouth is good for is being Vladimir Putin’s cuck holster.” 
--@Stephen Colbert, @StephenAtHome, referr…",0.4404,0.132,0.0,0.868
110,@CBS,Mon Apr 02 23:18:50 +0000 2018,@Twitstery @TheView @TuckerCarlson @MeghanMcCain @DLoesch @ABC @CNN @FoxNews @CBS 80% of gun deaths in this country… https://t.co/xmMedZZ7gh,-0.34,0.0,0.13,0.87
111,@CBS,Mon Apr 02 23:17:39 +0000 2018,"So, _all_ the @CBS stations in Idaho? https://t.co/Irt8bwmQvf",0.0,0.0,0.0,1.0
112,@CBS,Mon Apr 02 23:17:04 +0000 2018,"CBS is sometimes referred to as the ""Eye Network"", in reference to the company's iconic logo, in use since 1951. It… https://t.co/1bEdYweggU",0.0,0.0,0.0,1.0
113,@CBS,Mon Apr 02 23:15:44 +0000 2018,"RT @micmac99: @aspiringperson Most of Sinclair's almost 175 stations are affiliated with the major networks, @ABCNetwork @CBS @NBC @FoxTV.…",0.0,0.0,0.0,1.0
114,@CBS,Mon Apr 02 23:15:16 +0000 2018,"RT @RF_P0TUS: Dear @NBC, @ABC, @CBS: You are pleased to sully your reputations by having your affiliates parrot Sinclair's state propaganda…",0.6705,0.224,0.0,0.776
115,@CBS,Mon Apr 02 23:14:51 +0000 2018,"DISGUSTING &amp; TRUE!

@realDonaldTrump @GOP 
@POTUS @OANN @LouDobbs @limbaugh @Varneyco @SenShelby @SenTedCruz… https://t.co/qot102v8M7",-0.2244,0.186,0.233,0.58
116,@CBS,Mon Apr 02 23:13:39 +0000 2018,"@TheDailyEdge I want to know the reason @WaltDisneyCo, @comcast, and @CBS are failing to protect the @ABCNetwork,… https://t.co/nLP4ueU0SB",-0.1027,0.184,0.156,0.66
117,@CBS,Mon Apr 02 23:13:34 +0000 2018,"RT @larryelder: “The only thing your mouth is good for is being Vladimir Putin’s cuck holster.” 
--@Stephen Colbert, @StephenAtHome, referr…",0.4404,0.132,0.0,0.868
118,@CBS,Mon Apr 02 23:13:25 +0000 2018,"RT @1SnoozyQ: ? @CNN @MSNBC @maddow @ABC @CBS
?THE Most Dangerous Thing Happening in America right now that no one's talking about is the #…",-0.6801,0.0,0.203,0.797
119,@CBS,Mon Apr 02 23:12:41 +0000 2018,@BrandiKHOU @igTXSalazar @astros Play Ball?! #Home #OpeningDay #NeverSettle @KHOU @CBS https://t.co/zLniK5dE7W,0.4003,0.212,0.0,0.788
120,@CBS,Mon Apr 02 23:12:17 +0000 2018,"#ThingsPeopleTakeTooSeriousl
@FakeNews
@CNN
@MSN 
@MSNBC
@CBS 
@ABC
@LateNightComedycrap",0.0,0.0,0.0,1.0
121,@CBS,Mon Apr 02 23:11:09 +0000 2018,"@CBS  can you repeat ""39days ""  we need to hear the message louder or do a follow up? Please!",0.3802,0.139,0.0,0.861
122,@CBS,Mon Apr 02 23:09:27 +0000 2018,"RT @larryelder: “The only thing your mouth is good for is being Vladimir Putin’s cuck holster.” 
--@Stephen Colbert, @StephenAtHome, referr…",0.4404,0.132,0.0,0.868
